CurveDate,AverageYield,MinYield,MaxYield,AverageZeroRate,CurveSlope
2022-12-30,0.06891836363636364,0.062896,0.074637,0.06905527272727273,0.0072610000000000036
2023-01-30,0.06885763636363636,0.060384,0.072637,0.06887272727272728,0.012182000000000005
2023-02-06,0.06906536363636363,0.061462,0.073113,0.06893427272727272,0.009843999999999992
2023-03-30,0.07091618181818182,0.06473,0.074606,0.07124063636363637,0.007163000000000003
2023-04-30,0.07006272727272728,0.063941,0.075482,0.07019218181818182,0.009003999999999998
2023-05-30,0.06960636363636363,0.061954,0.074756,0.06981227272727274,0.012124000000000003
2023-06-30,0.07017045454545455,0.06401,0.075249,0.07027245454545455,0.011238999999999999
2023-07-30,0.071509,0.064052,0.076535,0.07144381818181818,0.011101
2023-08-30,0.07099554545454545,0.06354,0.075014,0.07086536363636363,0.007723000000000008
2023-09-30,0.07047199999999999,0.063867,0.075553,0.0706670909090909,0.011686000000000002
2023-10-30,0.07016836363636364,0.063144,0.075263,0.07002690909090908,0.01079899999999999
2023-11-30,0.07171618181818182,0.064148,0.075847,0.0717339090909091,0.011616000000000001
2023-12-30,0.07114427272727272,0.062641,0.074871,0.07123027272727273,0.009790999999999994
2024-01-30,0.07124381818181819,0.062314,0.077488,0.07134672727272727,0.010927
2024-02-01,0.07165118181818182,0.06539,0.076072,0.07134572727272727,0.009126999999999996
2024-03-30,0.0712928181818182,0.064407,0.075824,0.07120781818181819,0.011416999999999997
2024-04-30,0.07146963636363636,0.065889,0.074484,0.0711339090909091,0.008594999999999992
2024-05-30,0.0727594090909091,0.065509,0.077678,0.07287136363636364,0.011835499999999999
2024-06-30,0.07313436363636364,0.067917,0.078127,0.07314472727272726,0.010048000000000001
2024-07-30,0.07311545454545455,0.066621,0.077904,0.07313009090909091,0.007114999999999996
2024-08-30,0.07340145454545455,0.067932,0.077512,0.07331800000000001,0.008122000000000004
2024-09-30,0.07376409090909092,0.065094,0.078567,0.07383627272727272,0.010678999999999994
2024-10-30,0.07394836363636365,0.068725,0.079555,0.073996,0.009094000000000005
